season,match_date,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,fouls_home,fouls_away,yellow_home,yellow_away,red_home,red_away,result
2014-15,2014-09-27,Ath Madrid,Sevilla,4,0,2,0,11,4,6,1,5,3,14,16,4,3,0,0,home_win
2014-15,2014-09-27,Barcelona,Granada,6,0,3,0,19,9,12,1,8,1,11,11,1,3,0,0,home_win
2014-15,2014-09-27,Levante,Vallecano,0,2,0,2,7,13,0,5,5,7,21,16,4,3,0,0,away_win
2014-15,2014-09-27,Villarreal,Real Madrid,0,2,0,2,19,11,5,3,7,6,7,10,0,1,0,0,away_win
2014-15,2014-09-28,Sociedad,Valencia,1,1,1,1,18,7,5,2,11,4,13,17,2,5,0,0,draw
2014-15,2014-09-28,La Coruna,Almeria,0,1,0,0,8,15,1,6,6,5,14,18,2,4,0,0,away_win
2014-15,2014-09-28,Getafe,Malaga,1,0,1,0,9,10,3,0,4,4,8,16,0,3,0,1,home_win
2014-15,2014-09-28,Cordoba,Espanol,0,0,0,0,10,4,4,2,3,5,13,26,2,6,0,0,draw
2014-15,2014-10-03,Getafe,Cordoba,1,1,0,0,18,10,5,3,8,3,12,11,1,2,0,0,draw
2014-15,2014-10-04,Almeria,Elche,2,2,1,1,16,6,3,3,9,5,13,18,2,4,0,1,draw
2014-15,2014-10-04,Eibar,Levante,3,3,0,2,14,13,6,5,4,4,12,16,3,1,0,0,draw
2014-15,2014-10-04,Malaga,Granada,2,1,0,1,17,8,3,5,3,3,12,15,1,4,1,0,home_win
2014-15,2014-10-04,Valencia,Ath Madrid,3,1,3,1,6,19,3,5,1,6,23,14,4,0,0,1,home_win
2014-15,2014-10-04,Vallecano,Barcelona,0,2,0,2,14,18,4,7,6,7,19,7,2,2,2,0,away_win
2014-15,2014-10-05,Celta,Villarreal,1,3,1,2,15,11,6,4,11,4,15,22,3,4,1,0,away_win
2014-15,2014-10-05,Espanol,Sociedad,2,0,1,0,10,13,4,4,4,4,20,12,6,2,0,0,home_win
2014-15,2014-10-05,Real Madrid,Ath Bilbao,5,0,2,0,19,6,14,5,8,7,9,10,1,2,0,0,home_win
2014-15,2014-10-05,Sevilla,La Coruna,4,1,2,1,16,7,10,5,9,2,11,10,2,2,0,0,home_win
2014-15,2014-10-17,Granada,Vallecano,0,1,0,0,9,8,1,2,3,6,17,13,4,5,0,0,away_win
2014-15,2014-10-18,Levante,Real Madrid,0,5,0,2,11,21,1,11,6,3,13,8,4,0,0,0,away_win
2014-15,2014-10-18,Cordoba,Malaga,1,2,0,2,8,8,2,4,6,13,16,21,2,3,0,0,away_win
2014-15,2014-10-18,Ath Bilbao,Celta,1,1,1,0,13,4,4,1,9,2,13,16,3,3,0,0,draw
2014-15,2014-10-18,Barcelona,Eibar,3,0,0,0,27,4,12,2,12,3,9,13,2,2,0,0,home_win
2014-15,2014-10-19,Ath Madrid,Espanol,2,0,1,0,20,7,9,1,12,1,19,19,0,0,0,0,home_win
2014-15,2014-10-19,Elche,Sevilla,0,2,0,0,12,10,1,7,6,4,18,23,5,2,0,0,away_win
2014-15,2014-10-19,La Coruna,Valencia,3,0,2,0,11,8,5,1,3,5,19,19,3,3,0,0,home_win
2014-15,2014-10-19,Villarreal,Almeria,2,0,1,0,17,10,8,3,6,4,20,16,5,2,0,0,home_win
2014-15,2014-10-20,Sociedad,Getafe,1,2,0,0,13,16,2,7,8,4,10,13,1,3,0,0,away_win
2014-15,2014-10-24,Celta,Levante,3,0,1,0,13,4,4,0,7,0,14,16,0,3,0,0,home_win
2014-15,2014-10-25,Almeria,Ath Bilbao,0,1,0,0,7,6,3,1,4,8,10,14,2,1,0,0,away_win
2014-15,2014-10-25,Cordoba,Sociedad,1,1,0,1,7,7,3,1,5,4,13,12,3,2,0,0,draw
2014-15,2014-10-25,Eibar,Granada,1,1,1,1,7,8,3,3,7,8,14,14,3,4,0,0,draw
2014-15,2014-10-25,Real Madrid,Barcelona,3,1,1,1,18,16,6,5,3,9,11,10,2,4,0,0,home_win
2014-15,2014-10-25,Valencia,Elche,3,1,2,0,12,8,4,3,8,6,11,17,0,2,0,0,home_win
2014-15,2014-10-26,Sevilla,Villarreal,2,1,0,0,8,11,4,4,3,2,19,15,3,4,0,0,home_win
2014-15,2014-10-26,Malaga,Vallecano,4,0,3,0,18,10,8,4,7,4,18,21,1,4,0,0,home_win
2014-15,2014-10-26,Getafe,Ath Madrid,0,1,0,1,11,12,4,7,1,8,17,11,3,3,1,0,away_win
2014-15,2014-10-26,Espanol,La Coruna,0,0,0,0,16,5,5,1,11,0,12,17,2,4,0,0,draw
2014-15,2014-10-31,La Coruna,Getafe,1,2,0,1,9,16,2,4,4,6,7,23,2,1,0,0,away_win
2014-15,2014-11-01,Ath Madrid,Cordoba,4,2,1,0,16,8,8,4,4,5,12,13,0,2,0,0,home_win
2014-15,2014-11-01,Barcelona,Celta,0,1,0,0,19,10,9,4,9,5,10,29,1,2,0,0,away_win
2014-15,2014-11-01,Granada,Real Madrid,0,4,0,2,11,18,5,8,3,4,19,9,1,2,0,0,away_win
2014-15,2014-11-01,Sociedad,Malaga,0,1,0,0,5,6,0,2,6,3,18,22,2,5,0,0,away_win
2014-15,2014-11-02,Ath Bilbao,Sevilla,1,0,1,0,9,4,2,1,4,8,24,11,4,3,0,0,home_win
2014-15,2014-11-02,Elche,Espanol,2,1,1,0,11,15,5,5,4,10,19,10,2,2,2,0,home_win
2014-15,2014-11-02,Levante,Almeria,2,1,1,0,11,14,5,5,3,6,17,17,3,2,0,0,home_win
2014-15,2014-11-02,Villarreal,Valencia,1,3,0,1,14,6,4,3,11,4,12,15,2,3,0,0,away_win
2014-15,2014-11-03,Vallecano,Eibar,2,3,0,1,16,8,6,5,11,2,10,14,1,2,0,0,away_win
2014-15,2014-11-07,Cordoba,La Coruna,0,0,0,0,14,6,6,2,3,2,10,5,4,0,0,1,draw
2014-15,2014-11-08,Real Madrid,Vallecano,5,1,2,1,16,15,11,6,4,6,12,15,0,4,0,0,home_win
2014-15,2014-11-08,Malaga,Eibar,2,1,0,1,15,7,8,3,5,3,9,15,3,2,0,1,home_win
2014-15,2014-11-08,Celta,Granada,0,0,0,0,17,8,5,1,6,2,14,17,1,5,0,0,draw
2014-15,2014-11-08,Almeria,Barcelona,1,2,1,0,6,18,2,6,4,5,16,9,2,0,0,0,away_win
2014-15,2014-11-08,Getafe,Elche,0,0,0,0,16,11,3,5,9,2,11,8,1,2,0,0,draw
2014-15,2014-11-09,Espanol,Villarreal,1,1,0,1,11,9,4,5,6,7,16,25,3,3,0,0,draw
2014-15,2014-11-09,Sevilla,Levante,1,1,1,0,15,16,6,5,6,5,13,10,2,6,0,0,draw
2014-15,2014-11-09,Sociedad,Ath Madrid,2,1,1,1,11,4,5,2,2,1,17,17,2,6,0,1,home_win
2014-15,2014-11-09,Valencia,Ath Bilbao,0,0,0,0,8,4,1,1,2,4,13,17,0,2,0,0,draw
2014-15,2014-11-21,Ath Bilbao,Espanol,3,1,2,0,9,8,5,3,5,3,15,18,0,5,0,0,home_win
2014-15,2014-11-22,La Coruna,Sociedad,0,0,0,0,11,17,4,5,8,6,14,11,3,1,0,0,draw
2014-15,2014-11-22,Ath Madrid,Malaga,3,1,2,0,11,4,5,1,4,3,18,14,1,3,1,1,home_win
2014-15,2014-11-22,Barcelona,Sevilla,5,1,1,0,16,2,10,0,5,4,8,21,1,2,0,0,home_win
2014-15,2014-11-22,Eibar,Real Madrid,0,4,0,2,10,19,2,8,4,2,16,9,4,2,0,0,away_win
2014-15,2014-11-23,Vallecano,Celta,1,0,1,0,9,14,3,4,2,9,14,16,6,4,0,0,home_win
2014-15,2014-11-23,Villarreal,Getafe,2,1,2,0,10,15,4,5,7,4,15,14,3,2,0,0,home_win
2014-15,2014-11-23,Elche,Cordoba,2,2,0,1,17,10,6,3,6,2,16,14,3,4,0,0,draw
2014-15,2014-11-23,Levante,Valencia,2,1,0,0,10,17,5,6,4,5,20,18,2,1,0,0,home_win
2014-15,2014-11-24,Granada,Almeria,0,0,0,0,24,3,11,1,10,5,10,7,4,0,0,1,draw
2014-15,2014-11-28,Sociedad,Elche,3,0,2,0,12,13,8,5,2,1,15,15,2,4,0,0,home_win
