season,match_date,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,fouls_home,fouls_away,yellow_home,yellow_away,red_home,red_away,result
2016-17,2016-11-05,Sociedad,Ath Madrid,2,0,0,0,12,9,3,2,6,6,18,20,2,4,0,0,home_win
2016-17,2016-11-06,Villarreal,Betis,2,0,1,0,15,7,7,3,10,1,16,12,0,2,0,0,home_win
2016-17,2016-11-06,Sevilla,Barcelona,1,2,1,1,15,14,4,7,3,5,18,12,4,6,0,0,away_win
2016-17,2016-11-06,Real Madrid,Leganes,3,0,2,0,17,7,7,3,2,2,7,20,3,5,0,0,home_win
2016-17,2016-11-06,Celta,Valencia,2,1,1,1,7,13,4,4,4,3,19,15,6,1,0,0,home_win
2016-17,2016-11-06,Espanol,Ath Bilbao,0,0,0,0,6,4,3,0,5,3,13,11,1,2,0,0,draw
2016-17,2016-11-18,Betis,Las Palmas,2,0,2,0,10,9,3,3,4,5,22,10,0,1,0,0,home_win
2016-17,2016-11-19,Ath Madrid,Real Madrid,0,3,0,1,16,12,5,7,8,6,21,14,4,2,0,0,away_win
2016-17,2016-11-19,Barcelona,Malaga,0,0,0,0,28,4,8,1,14,1,13,12,0,2,0,2,draw
2016-17,2016-11-19,Eibar,Celta,1,0,1,0,12,6,5,2,7,0,11,13,2,5,0,2,home_win
2016-17,2016-11-19,La Coruna,Sevilla,2,3,2,1,4,20,3,7,3,14,15,12,3,2,0,0,away_win
2016-17,2016-11-20,Alaves,Espanol,0,1,0,0,10,10,4,3,2,5,20,14,5,2,0,0,away_win
2016-17,2016-11-20,Ath Bilbao,Villarreal,1,0,0,0,12,6,5,2,6,5,13,17,0,2,0,0,home_win
2016-17,2016-11-20,Sp Gijon,Sociedad,1,3,1,1,4,20,1,9,3,5,17,9,2,1,0,0,away_win
2016-17,2016-11-20,Valencia,Granada,1,1,0,1,14,9,7,5,11,2,7,18,1,5,0,0,draw
2016-17,2016-11-21,Leganes,Osasuna,2,0,1,0,15,5,5,2,3,2,13,17,2,3,0,0,home_win
2016-17,2016-11-25,Eibar,Betis,3,1,2,0,16,7,9,2,5,1,11,7,0,1,0,1,home_win
2016-17,2016-11-26,Real Madrid,Sp Gijon,2,1,2,1,19,9,7,3,5,6,19,18,1,3,0,0,home_win
2016-17,2016-11-26,Sevilla,Valencia,2,1,0,0,6,10,1,4,3,6,19,14,0,1,0,0,home_win
2016-17,2016-11-26,Espanol,Leganes,3,0,0,0,8,8,4,3,3,4,19,16,1,2,0,0,home_win
2016-17,2016-11-26,Malaga,La Coruna,4,3,2,1,10,24,4,8,2,5,15,13,3,1,0,0,home_win
2016-17,2016-11-27,Celta,Granada,3,1,2,0,16,7,6,1,5,0,4,15,0,3,0,0,home_win
2016-17,2016-11-27,Osasuna,Ath Madrid,0,3,0,2,11,7,1,5,7,4,9,6,2,2,0,0,away_win
2016-17,2016-11-27,Sociedad,Barcelona,1,1,0,0,17,10,6,2,8,6,16,11,2,4,0,0,draw
2016-17,2016-11-27,Villarreal,Alaves,0,2,0,2,23,10,10,7,12,1,11,19,2,3,0,0,away_win
2016-17,2016-11-28,Las Palmas,Ath Bilbao,3,1,1,0,10,10,4,3,5,3,19,21,3,4,0,1,home_win
2016-17,2016-12-03,Ath Madrid,Espanol,0,0,0,0,11,5,3,3,9,2,10,19,2,2,0,0,draw
2016-17,2016-12-03,Barcelona,Real Madrid,1,1,0,0,11,14,2,5,5,7,19,16,4,2,0,0,draw
2016-17,2016-12-03,Granada,Sevilla,2,1,1,0,11,17,6,6,4,8,18,16,5,2,0,0,home_win
2016-17,2016-12-03,Leganes,Villarreal,0,0,0,0,11,9,4,3,2,4,21,16,6,3,0,0,draw
2016-17,2016-12-04,Valencia,Malaga,2,2,2,1,8,19,3,6,2,13,16,7,5,1,0,0,draw
2016-17,2016-12-04,Betis,Celta,3,3,1,1,16,13,5,6,4,3,22,14,4,1,1,0,draw
2016-17,2016-12-04,Sp Gijon,Osasuna,3,1,1,0,9,15,5,2,2,5,17,13,3,1,0,0,home_win
2016-17,2016-12-04,Alaves,Las Palmas,1,1,1,0,9,10,2,3,3,5,15,11,3,3,0,0,draw
2016-17,2016-12-04,Ath Bilbao,Eibar,3,1,1,0,12,10,5,4,2,2,9,16,1,4,0,0,home_win
2016-17,2016-12-05,La Coruna,Sociedad,5,1,3,0,15,14,10,3,8,6,15,10,1,4,0,0,home_win
2016-17,2016-12-09,Malaga,Granada,1,1,1,0,16,8,7,2,6,2,16,14,3,5,0,0,draw
2016-17,2016-12-10,Las Palmas,Leganes,1,1,1,0,5,11,1,6,6,4,17,18,3,3,0,0,draw
2016-17,2016-12-10,Osasuna,Barcelona,0,3,0,0,4,17,1,6,2,5,18,6,3,0,0,0,away_win
2016-17,2016-12-10,Real Madrid,La Coruna,3,2,0,0,17,4,5,2,10,3,16,17,3,4,0,0,home_win
2016-17,2016-12-10,Sociedad,Valencia,3,2,2,1,14,9,6,3,8,4,17,20,4,4,0,1,home_win
2016-17,2016-12-11,Betis,Ath Bilbao,1,0,1,0,6,14,1,4,3,7,14,12,3,2,0,0,home_win
2016-17,2016-12-11,Celta,Sevilla,0,3,0,0,14,14,6,5,4,6,13,13,3,3,0,0,away_win
2016-17,2016-12-11,Eibar,Alaves,0,0,0,0,8,3,1,3,7,2,14,7,1,1,0,0,draw
2016-17,2016-12-11,Espanol,Sp Gijon,2,1,0,0,12,13,6,5,4,3,13,10,1,2,0,0,home_win
2016-17,2016-12-12,Villarreal,Ath Madrid,3,0,2,0,9,13,5,3,2,7,13,13,3,3,0,0,home_win
2016-17,2016-12-16,Alaves,Betis,1,0,0,0,10,6,2,3,6,4,20,6,6,1,0,0,home_win
2016-17,2016-12-17,Sp Gijon,Villarreal,1,3,0,2,16,14,7,9,12,2,16,14,2,1,0,0,away_win
2016-17,2016-12-17,Sevilla,Malaga,4,1,4,0,9,16,5,3,3,6,17,12,2,3,1,0,home_win
2016-17,2016-12-17,Ath Madrid,Las Palmas,1,0,0,0,16,11,3,3,8,5,15,11,2,1,0,0,home_win
2016-17,2016-12-17,Granada,Sociedad,0,2,0,0,10,18,4,6,5,9,9,11,0,1,0,0,away_win
2016-17,2016-12-18,Barcelona,Espanol,4,1,1,0,14,4,7,1,5,2,11,16,0,3,0,0,home_win
2016-17,2016-12-18,La Coruna,Osasuna,2,0,2,0,8,13,4,3,5,1,8,16,1,3,0,0,home_win
2016-17,2016-12-18,Leganes,Eibar,1,1,1,0,8,15,2,4,3,6,10,10,2,2,1,0,draw
2016-17,2016-12-19,Ath Bilbao,Celta,2,1,0,0,10,10,7,4,9,7,16,13,4,2,0,1,home_win
2016-17,2017-01-06,Espanol,La Coruna,1,1,0,0,14,13,4,3,2,8,13,14,1,1,0,1,draw
2016-17,2017-01-07,Eibar,Ath Madrid,0,2,0,0,15,8,2,4,5,3,11,10,2,2,0,0,away_win
2016-17,2017-01-07,Las Palmas,Sp Gijon,1,0,0,0,16,10,10,2,8,3,8,18,2,3,0,0,home_win
2016-17,2017-01-07,Real Madrid,Granada,5,0,4,0,23,3,13,1,9,1,11,12,1,4,0,0,home_win
2016-17,2017-01-07,Sociedad,Sevilla,0,4,0,2,11,11,5,10,7,4,15,18,2,3,0,0,away_win
2016-17,2017-01-08,Villarreal,Barcelona,1,1,0,0,6,20,3,7,2,4,16,13,1,2,1,0,draw
2016-17,2017-01-08,Celta,Malaga,3,1,1,0,6,13,3,4,2,7,17,15,1,4,0,0,home_win
2016-17,2017-01-08,Ath Bilbao,Alaves,0,0,0,0,15,10,4,4,13,4,10,13,2,4,0,0,draw
2016-17,2017-01-08,Betis,Leganes,2,0,0,0,16,9,3,3,4,2,10,20,2,6,0,0,home_win
2016-17,2017-01-09,Osasuna,Valencia,3,3,1,2,22,7,4,3,7,3,19,13,2,5,0,0,draw
2016-17,2017-01-14,Ath Madrid,Betis,1,0,1,0,6,10,3,6,9,2,15,17,1,3,0,0,home_win
2016-17,2017-01-14,Barcelona,Las Palmas,5,0,1,0,22,7,10,1,5,1,15,11,3,4,0,0,home_win
2016-17,2017-01-14,La Coruna,Villarreal,0,0,0,0,13,4,3,1,10,0,14,8,0,1,0,0,draw
2016-17,2017-01-14,Leganes,Ath Bilbao,0,0,0,0,15,10,5,2,4,8,20,11,3,3,0,0,draw
2016-17,2017-01-15,Valencia,Espanol,2,1,1,0,10,6,5,3,6,3,17,13,5,0,0,0,home_win
2016-17,2017-01-15,Celta,Alaves,1,0,0,0,13,9,4,1,7,4,19,10,4,3,0,1,home_win
2016-17,2017-01-15,Granada,Osasuna,1,1,0,1,8,13,4,3,3,5,13,23,2,4,2,0,draw
2016-17,2017-01-15,Sevilla,Real Madrid,2,1,0,0,9,10,4,3,6,1,13,10,3,1,0,0,home_win
2016-17,2017-01-15,Sp Gijon,Eibar,2,3,1,3,10,18,4,7,2,4,13,16,4,0,0,0,away_win
2016-17,2017-01-16,Malaga,Sociedad,0,2,0,0,5,11,1,5,8,8,22,12,0,2,0,0,away_win
2016-17,2017-01-20,Las Palmas,La Coruna,1,1,1,0,9,7,3,1,4,5,13,8,0,1,1,0,draw
2016-17,2017-01-21,Espanol,Granada,3,1,2,1,17,7,8,4,10,5,19,17,0,3,0,0,home_win
2016-17,2017-01-21,Real Madrid,Malaga,2,1,2,0,14,10,7,6,5,4,7,20,2,3,0,0,home_win
2016-17,2017-01-21,Alaves,Leganes,2,2,1,1,8,13,3,4,4,3,9,20,3,2,0,0,draw
2016-17,2017-01-21,Villarreal,Valencia,0,2,0,2,20,13,5,5,7,2,14,17,2,2,0,0,away_win
2016-17,2017-01-22,Osasuna,Sevilla,3,4,1,1,14,13,7,9,3,6,14,8,5,3,0,0,away_win
2016-17,2017-01-22,Eibar,Barcelona,0,4,0,1,14,14,6,7,8,5,12,4,3,1,0,0,away_win
2016-17,2017-01-22,Sociedad,Celta,1,0,0,0,17,11,6,5,4,3,13,12,2,2,0,0,home_win
2016-17,2017-01-22,Ath Bilbao,Ath Madrid,2,2,1,1,8,11,5,5,2,6,12,9,2,3,0,0,draw
2016-17,2017-01-22,Betis,Sp Gijon,0,0,0,0,16,7,4,1,9,5,14,20,2,2,0,0,draw
2016-17,2017-01-27,Osasuna,Malaga,1,1,0,0,14,14,2,5,4,6,9,16,1,0,0,0,draw
2016-17,2017-01-28,Alaves,Ath Madrid,0,0,0,0,19,8,4,2,7,2,19,18,3,2,0,0,draw
2016-17,2017-01-28,Eibar,La Coruna,3,1,2,1,12,20,6,7,9,10,14,7,0,2,0,0,home_win
2016-17,2017-01-28,Leganes,Celta,0,2,0,1,6,3,0,3,8,0,20,14,1,1,0,0,away_win
2016-17,2017-01-28,Villarreal,Granada,2,0,1,0,18,7,6,0,7,4,11,18,3,2,0,0,home_win
2016-17,2017-01-29,Ath Bilbao,Sp Gijon,2,1,0,1,11,5,6,3,5,0,11,22,4,3,0,0,home_win
2016-17,2017-01-29,Betis,Barcelona,1,1,0,0,17,10,7,4,8,2,17,12,2,3,0,0,draw
2016-17,2017-01-29,Espanol,Sevilla,3,1,2,1,16,12,8,5,7,4,18,14,2,2,0,1,home_win
2016-17,2017-01-29,Real Madrid,Sociedad,3,0,1,0,7,9,4,3,0,3,16,11,2,1,0,1,home_win
2016-17,2017-01-30,Las Palmas,Valencia,3,1,1,1,9,8,4,3,6,3,17,13,1,3,0,1,home_win
2016-17,2017-02-04,Malaga,Espanol,0,1,0,1,19,4,5,3,17,2,9,18,1,4,0,0,away_win
2016-17,2017-02-04,Valencia,Eibar,0,4,0,2,8,11,1,7,2,6,12,10,2,1,1,0,away_win
2016-17,2017-02-04,Ath Madrid,Leganes,2,0,1,0,12,15,4,2,3,6,10,15,1,1,0,0,home_win
2016-17,2017-02-04,Barcelona,Ath Bilbao,3,0,2,0,16,10,6,5,7,3,11,18,1,3,0,0,home_win
2016-17,2017-02-05,Sevilla,Villarreal,0,0,0,0,14,11,4,4,9,0,14,16,2,2,0,0,draw
2016-17,2017-02-05,Sociedad,Osasuna,3,2,0,1,13,11,6,5,3,2,6,22,2,2,0,0,home_win
2016-17,2017-02-05,Sp Gijon,Alaves,2,4,0,1,12,14,4,7,8,4,20,20,7,3,0,0,away_win
2016-17,2017-02-06,Granada,Las Palmas,1,0,1,0,12,15,4,5,6,5,27,9,5,3,0,0,home_win
2016-17,2017-02-10,Espanol,Sociedad,1,2,1,1,7,15,2,5,5,6,15,14,3,2,0,0,away_win
2016-17,2017-02-11,Alaves,Barcelona,0,6,0,2,9,21,4,9,3,9,16,9,1,3,0,0,away_win
2016-17,2017-02-11,Ath Bilbao,La Coruna,2,1,0,1,13,8,5,3,3,2,12,11,1,2,0,0,home_win
2016-17,2017-02-11,Betis,Valencia,0,0,0,0,16,8,2,4,4,6,15,17,4,3,0,0,draw
2016-17,2017-02-11,Osasuna,Real Madrid,1,3,1,1,11,12,8,6,3,2,10,8,3,2,0,0,away_win
2016-17,2017-02-12,Villarreal,Malaga,1,1,0,1,12,11,5,5,9,9,14,12,0,5,1,0,draw
2016-17,2017-02-12,Ath Madrid,Celta,3,2,1,1,16,14,5,6,3,3,11,13,1,2,0,0,home_win
2016-17,2017-02-12,Las Palmas,Sevilla,0,1,0,0,15,12,7,3,1,4,15,16,2,4,0,0,away_win
2016-17,2017-02-12,Leganes,Sp Gijon,0,2,0,0,9,4,3,2,4,3,16,16,3,6,0,1,away_win
2016-17,2017-02-13,Eibar,Granada,4,0,2,0,25,13,9,3,7,8,11,14,2,2,0,0,home_win
2016-17,2017-02-17,Granada,Betis,4,1,3,0,10,6,8,2,4,7,18,9,4,1,1,1,home_win
2016-17,2017-02-18,La Coruna,Alaves,0,1,0,0,16,6,4,4,10,6,13,13,5,3,0,0,away_win
2016-17,2017-02-18,Real Madrid,Espanol,2,0,1,0,12,3,3,1,13,2,12,13,3,4,0,0,home_win
2016-17,2017-02-18,Sevilla,Eibar,2,0,1,0,11,11,5,3,5,2,13,11,2,3,0,0,home_win
2016-17,2017-02-18,Sp Gijon,Ath Madrid,1,4,0,0,15,11,2,6,12,3,12,10,1,1,0,0,away_win
2016-17,2017-02-19,Barcelona,Leganes,2,1,1,0,13,11,6,6,4,4,8,18,1,3,0,0,home_win
2016-17,2017-02-19,Celta,Osasuna,3,0,1,0,11,8,4,3,3,5,14,18,1,0,0,0,home_win
2016-17,2017-02-19,Sociedad,Villarreal,0,1,0,0,16,7,0,3,7,4,8,19,2,4,0,0,away_win
2016-17,2017-02-19,Valencia,Ath Bilbao,2,0,2,0,15,15,5,5,3,1,17,11,0,1,0,0,home_win
2016-17,2017-02-20,Malaga,Las Palmas,2,1,2,1,13,13,6,4,2,6,23,14,3,3,1,0,home_win
2016-17,2017-02-22,Valencia,Real Madrid,2,1,2,1,8,22,5,5,3,11,12,18,5,2,0,0,home_win
2016-17,2017-02-24,Las Palmas,Sociedad,0,1,0,0,18,9,7,2,6,1,14,19,2,2,0,0,away_win
2016-17,2017-02-25,Leganes,La Coruna,4,0,2,0,7,11,5,3,2,7,18,13,2,5,0,1,home_win
2016-17,2017-02-25,Eibar,Malaga,3,0,1,0,8,4,4,2,2,2,11,18,2,4,0,1,home_win
2016-17,2017-02-25,Alaves,Valencia,2,1,0,0,13,5,5,2,2,1,13,16,4,2,0,1,home_win
2016-17,2017-02-25,Betis,Sevilla,1,2,1,0,15,13,4,4,4,4,19,17,3,3,0,0,away_win
2016-17,2017-02-26,Ath Bilbao,Granada,3,1,2,1,14,7,7,2,0,3,14,16,1,5,0,0,home_win
2016-17,2017-02-26,Ath Madrid,Barcelona,1,2,0,0,12,15,4,6,6,5,28,14,4,2,0,0,away_win
2016-17,2017-02-26,Espanol,Osasuna,3,0,1,0,18,4,6,1,10,2,11,10,1,4,0,1,home_win
2016-17,2017-02-26,Sp Gijon,Celta,1,1,0,0,20,16,6,5,7,5,9,17,2,4,1,0,draw
2016-17,2017-02-26,Villarreal,Real Madrid,2,3,0,0,11,25,4,6,5,5,15,6,4,1,0,0,away_win
2016-17,2017-02-28,Malaga,Betis,1,2,1,0,15,11,4,5,7,5,8,16,3,5,0,0,away_win
2016-17,2017-02-28,Sociedad,Eibar,2,2,1,1,14,13,7,4,3,5,12,20,3,4,1,1,draw
2016-17,2017-02-28,Valencia,Leganes,1,0,1,0,16,3,6,0,7,3,12,26,3,2,0,1,home_win
2016-17,2017-03-01,Osasuna,Villarreal,1,4,0,2,17,12,3,6,8,2,10,13,3,3,0,0,away_win
2016-17,2017-03-01,Barcelona,Sp Gijon,6,1,3,1,25,5,9,2,10,3,14,12,1,3,0,0,home_win
2016-17,2017-03-01,Celta,Espanol,2,2,2,2,8,8,4,2,1,3,16,8,2,2,1,0,draw
2016-17,2017-03-01,Granada,Alaves,2,1,1,0,13,11,6,5,4,4,19,15,6,4,0,2,home_win
2016-17,2017-03-01,Real Madrid,Las Palmas,3,3,1,1,20,17,7,8,7,4,15,16,4,3,1,0,draw
2016-17,2017-03-02,Sevilla,Ath Bilbao,1,0,1,0,14,14,4,4,6,9,16,10,6,2,0,0,home_win
2016-17,2017-03-02,La Coruna,Ath Madrid,1,1,1,0,13,10,2,4,7,2,14,10,2,1,0,0,draw
2016-17,2017-03-03,Betis,Sociedad,2,3,1,2,12,9,5,6,7,6,18,15,4,2,0,0,away_win
2016-17,2017-03-04,Barcelona,Celta,5,0,2,0,19,7,9,2,10,1,10,16,1,3,0,0,home_win
2016-17,2017-03-04,Eibar,Real Madrid,1,4,0,3,12,12,2,7,4,4,13,14,1,1,0,0,away_win
2016-17,2017-03-04,Leganes,Granada,1,0,0,0,16,1,4,1,7,4,17,19,3,2,0,0,home_win
2016-17,2017-03-04,Villarreal,Espanol,2,0,1,0,11,8,6,2,1,1,13,18,2,2,0,0,home_win
2016-17,2017-03-05,Ath Bilbao,Malaga,1,0,0,0,15,8,3,2,8,2,13,18,3,5,0,0,home_win
2016-17,2017-03-05,Ath Madrid,Valencia,3,0,1,0,18,6,8,2,6,2,17,9,1,2,0,0,home_win
2016-17,2017-03-05,Las Palmas,Osasuna,5,2,1,2,16,10,8,4,5,1,7,21,4,4,0,0,home_win
2016-17,2017-03-05,Sp Gijon,La Coruna,0,1,0,1,9,7,2,3,6,4,11,13,4,5,0,0,away_win
2016-17,2017-03-06,Alaves,Sevilla,1,1,0,1,18,9,4,1,2,2,12,16,2,5,0,0,draw
2016-17,2017-03-08,La Coruna,Betis,1,1,0,0,15,5,5,3,6,4,22,17,4,7,0,0,draw
2016-17,2017-03-10,Espanol,Las Palmas,4,3,2,1,12,12,6,5,2,5,18,12,2,4,0,0,home_win
2016-17,2017-03-11,Valencia,Sp Gijon,1,1,0,0,20,10,7,4,7,9,15,20,3,5,0,0,draw
2016-17,2017-03-11,Sevilla,Leganes,1,1,1,1,12,12,4,4,4,1,20,20,2,3,0,0,draw
2016-17,2017-03-11,Malaga,Alaves,1,2,0,1,15,4,9,2,5,3,17,13,2,1,0,1,away_win
2016-17,2017-03-11,Granada,Ath Madrid,0,1,0,0,12,15,2,6,4,9,14,15,3,3,1,0,away_win
2016-17,2017-03-12,Celta,Villarreal,0,1,0,1,12,8,1,4,4,3,8,11,4,5,0,0,away_win
2016-17,2017-03-12,La Coruna,Barcelona,2,1,1,0,14,16,9,5,4,8,7,8,2,0,0,0,home_win
2016-17,2017-03-12,Real Madrid,Betis,2,1,1,1,14,9,4,4,8,4,8,21,1,0,0,1,home_win
2016-17,2017-03-12,Sociedad,Ath Bilbao,0,2,0,1,16,9,4,5,8,3,15,22,3,6,0,0,away_win
2016-17,2017-03-13,Osasuna,Eibar,1,1,0,0,10,14,6,7,6,6,15,14,4,4,0,0,draw
2016-17,2017-03-17,Las Palmas,Villarreal,1,0,1,0,19,8,10,3,8,5,14,14,2,2,0,1,home_win
2016-17,2017-03-18,Alaves,Sociedad,1,0,1,0,10,10,5,2,5,8,14,13,3,3,0,1,home_win
2016-17,2017-03-18,Ath Bilbao,Real Madrid,1,2,0,1,12,9,5,4,5,5,1,4,1,4,0,0,away_win
2016-17,2017-03-18,Betis,Osasuna,2,0,2,0,9,13,5,5,5,0,12,15,0,3,0,0,home_win
2016-17,2017-03-18,Eibar,Espanol,1,1,1,0,16,4,4,1,6,2,12,13,2,4,0,0,draw
2016-17,2017-03-19,Sp Gijon,Granada,3,1,0,0,15,12,11,5,6,3,12,14,2,4,0,0,home_win
2016-17,2017-03-19,Leganes,Malaga,0,0,0,0,14,8,2,1,6,7,11,16,4,2,0,0,draw
2016-17,2017-03-19,La Coruna,Celta,0,1,0,0,9,9,2,2,3,1,21,12,4,4,0,0,away_win
2016-17,2017-03-19,Barcelona,Valencia,4,2,2,2,28,6,12,5,6,3,4,12,3,4,0,1,home_win
2016-17,2017-03-19,Ath Madrid,Sevilla,3,1,1,0,15,9,8,2,2,2,16,14,4,3,0,0,home_win
2016-17,2017-03-31,Espanol,Betis,2,1,0,0,8,10,5,3,4,4,16,14,3,2,0,0,home_win
2016-17,2017-04-01,Malaga,Ath Madrid,0,2,0,1,21,7,5,6,6,0,9,11,2,2,0,0,away_win
2016-17,2017-04-01,Osasuna,Ath Bilbao,1,2,0,2,8,9,6,4,6,3,19,9,4,2,0,0,away_win
2016-17,2017-04-01,Sociedad,Leganes,1,1,0,1,14,6,5,3,7,0,10,16,2,3,0,0,draw
2016-17,2017-04-01,Villarreal,Eibar,2,3,1,0,15,14,7,4,11,5,9,10,4,3,0,0,away_win
2016-17,2017-04-02,Granada,Barcelona,1,4,0,1,7,26,5,13,1,9,15,10,1,3,1,0,away_win
2016-17,2017-04-02,Real Madrid,Alaves,3,0,1,0,18,12,6,3,3,3,12,16,0,2,0,0,home_win
2016-17,2017-04-02,Sevilla,Sp Gijon,0,0,0,0,18,8,6,2,9,5,17,13,3,4,0,0,draw
2016-17,2017-04-02,Valencia,La Coruna,3,0,2,0,14,13,8,5,3,6,17,13,3,1,0,0,home_win
2016-17,2017-04-03,Celta,Las Palmas,3,1,2,0,13,12,6,5,4,6,15,10,3,3,0,0,home_win
2016-17,2017-04-04,Betis,Villarreal,0,1,0,0,15,6,3,2,5,2,12,15,2,2,0,0,away_win
2016-17,2017-04-04,Ath Madrid,Sociedad,1,0,1,0,20,10,8,1,6,4,18,13,0,4,0,0,home_win
2016-17,2017-04-04,Ath Bilbao,Espanol,2,0,2,0,13,5,5,2,5,1,19,16,1,3,0,0,home_win
2016-17,2017-04-05,Alaves,Osasuna,0,1,0,0,15,7,3,6,5,1,20,12,5,1,0,0,away_win
2016-17,2017-04-05,Barcelona,Sevilla,3,0,3,0,15,7,7,3,4,4,16,13,4,2,0,1,home_win
2016-17,2017-04-05,La Coruna,Granada,0,0,0,0,12,10,3,2,6,3,14,10,1,4,0,0,draw
2016-17,2017-04-05,Leganes,Real Madrid,2,4,2,3,14,18,3,8,4,4,14,16,2,1,0,0,away_win
2016-17,2017-04-05,Sp Gijon,Malaga,0,1,0,1,14,11,5,3,7,1,12,18,2,5,0,0,away_win
2016-17,2017-04-06,Eibar,Las Palmas,3,1,2,0,11,8,6,6,9,2,14,12,2,5,0,0,home_win
2016-17,2017-04-06,Valencia,Celta,3,2,1,1,15,12,10,3,6,2,16,9,1,1,0,0,home_win
2016-17,2017-04-07,Villarreal,Ath Bilbao,3,1,1,1,10,11,5,5,4,5,16,16,6,3,1,0,home_win
2016-17,2017-04-08,Espanol,Alaves,1,0,0,0,15,9,6,0,5,3,11,13,3,3,0,0,home_win
2016-17,2017-04-08,Malaga,Barcelona,2,0,1,0,8,11,4,3,2,3,26,20,4,3,0,1,home_win
2016-17,2017-04-08,Real Madrid,Ath Madrid,1,1,0,0,20,10,6,4,6,2,12,13,2,3,0,0,draw
2016-17,2017-04-08,Sevilla,La Coruna,4,2,3,2,19,9,13,4,4,2,19,15,3,3,0,0,home_win
2016-17,2017-04-09,Osasuna,Leganes,2,1,1,1,11,17,6,2,4,8,14,14,3,4,0,0,home_win
2016-17,2017-04-09,Las Palmas,Betis,4,1,1,0,9,13,6,5,2,6,16,18,3,4,0,0,home_win
2016-17,2017-04-09,Granada,Valencia,1,3,0,2,21,17,5,8,5,2,9,13,2,2,0,0,away_win
2016-17,2017-04-09,Celta,Eibar,0,2,0,1,12,11,3,6,0,3,10,16,1,3,0,0,away_win
2016-17,2017-04-10,Sociedad,Sp Gijon,3,1,2,0,20,10,7,3,7,4,20,19,1,5,0,0,home_win
2016-17,2017-04-14,Ath Bilbao,Las Palmas,5,1,3,1,18,8,7,2,14,5,22,10,1,2,0,0,home_win
2016-17,2017-04-15,Ath Madrid,Osasuna,3,0,1,0,19,3,8,0,5,2,11,14,1,5,0,0,home_win
2016-17,2017-04-15,Barcelona,Sociedad,3,2,3,2,16,14,9,7,5,4,15,17,3,2,0,0,home_win
2016-17,2017-04-15,La Coruna,Malaga,2,0,0,0,11,11,4,3,1,4,15,17,3,4,0,0,home_win
2016-17,2017-04-15,Sp Gijon,Real Madrid,2,3,1,1,4,18,2,6,4,8,17,12,5,1,0,0,away_win
2016-17,2017-04-16,Betis,Eibar,2,0,1,0,6,10,4,3,4,6,15,19,4,4,0,0,home_win
2016-17,2017-04-16,Granada,Celta,0,3,0,1,17,15,4,4,8,1,17,9,5,2,0,0,away_win
2016-17,2017-04-16,Leganes,Espanol,0,1,0,0,15,7,5,2,5,1,20,14,1,1,0,0,away_win
2016-17,2017-04-16,Valencia,Sevilla,0,0,0,0,14,10,3,2,4,2,19,20,3,2,0,0,draw
2016-17,2017-04-17,Alaves,Villarreal,2,1,2,0,11,11,5,5,5,11,8,13,2,4,0,0,home_win
2016-17,2017-04-21,Sevilla,Granada,2,0,1,0,28,9,12,2,7,2,18,11,1,2,0,0,home_win
2016-17,2017-04-22,Espanol,Ath Madrid,0,1,0,0,10,13,2,3,5,3,13,10,3,2,0,0,away_win
2016-17,2017-04-22,Malaga,Valencia,2,0,2,0,10,13,4,2,7,6,16,13,3,3,0,0,home_win
2016-17,2017-04-22,Osasuna,Sp Gijon,2,2,1,0,7,12,1,4,1,5,25,10,3,4,0,0,draw
2016-17,2017-04-22,Villarreal,Leganes,2,1,0,0,11,8,5,4,3,8,9,19,1,3,0,0,home_win
2016-17,2017-04-23,Celta,Betis,0,1,0,0,8,17,4,6,5,6,16,15,3,5,0,0,away_win
2016-17,2017-04-23,Las Palmas,Alaves,1,1,1,0,14,12,3,5,3,9,16,14,4,1,1,0,draw
2016-17,2017-04-23,Real Madrid,Barcelona,2,3,1,1,22,16,14,9,7,4,13,8,2,2,1,0,away_win
2016-17,2017-04-23,Sociedad,La Coruna,1,0,1,0,17,5,3,1,11,1,16,16,1,3,0,0,home_win
2016-17,2017-04-24,Eibar,Ath Bilbao,0,1,0,0,7,9,2,3,5,5,15,9,4,2,1,0,away_win
2016-17,2017-04-25,Ath Madrid,Villarreal,0,1,0,0,23,6,9,2,5,1,15,16,2,6,0,0,away_win
2016-17,2017-04-25,Granada,Malaga,0,2,0,0,3,17,1,6,2,4,22,13,5,0,0,0,away_win
2016-17,2017-04-25,Sp Gijon,Espanol,1,1,1,0,16,14,6,5,7,2,9,11,1,2,0,0,draw
2016-17,2017-04-26,Leganes,Las Palmas,3,0,0,0,16,7,5,0,6,3,14,17,1,0,0,0,home_win
2016-17,2017-04-26,Valencia,Sociedad,2,3,0,2,14,8,3,2,2,3,15,21,4,3,0,0,away_win
2016-17,2017-04-26,Barcelona,Osasuna,7,1,2,0,19,3,9,2,10,1,3,7,0,0,0,0,home_win
2016-17,2017-04-26,La Coruna,Real Madrid,2,6,1,3,19,22,7,11,4,5,12,5,3,1,0,0,away_win
2016-17,2017-04-27,Alaves,Eibar,0,0,0,0,14,6,4,4,3,2,13,14,4,2,0,1,draw
