home_form_last8,away_form_last8,home_goal_avg,away_goal_avg,home_conceded_avg,away_conceded_avg,home_xg_proxy,away_xg_proxy,home_shots_avg,away_shots_avg,home_sot_avg,away_sot_avg,home_corners_avg,away_corners_avg,home_cards_avg,away_cards_avg,head_to_head_score,home_league_position,away_league_position,home_home_win_rate,away_away_win_rate,home_advantage,home_strength_score,away_strength_score,goal_diff_ratio,position_diff,form_diff,xg_diff,result
0.665,0.5,1.5,0.5,1.0,1.0,0.4667,0.2857,7.5,14.5,3.5,5.0,4.5,6.5,2.5,1.5,0.5,5,12,1.0,1.0,0.245,1.0972,0.9977,0.5,0.35,0.165,0.181,draw
0.665,0.5,1.5,1.5,1.0,1.0,0.3913,0.25,11.5,15.5,4.5,6.0,5.0,3.5,3.0,3.0,0.5,6,13,0.0,0.0,0.245,1.1936,1.2745,0.0,0.35,0.165,0.1413,home_win
0.665,0.165,2.0,1.5,0.5,1.0,0.2,0.25,12.5,16.0,2.5,6.0,3.5,9.0,1.5,2.5,0.5,9,19,1.0,0.0,0.58,1.2037,1.1548,0.1429,0.5,0.5,-0.05,home_win
0.33,0.165,1.0,2.0,1.0,0.5,0.2,0.1667,10.0,8.5,2.0,5.0,3.0,3.5,4.0,2.0,0.5,14,20,0.0,0.0,0.245,0.7035,1.2828,-0.3333,0.3,0.165,0.0333,away_win
0.5,0.165,1.0,2.0,1.0,1.5,0.35,0.3529,10.0,11.0,3.5,2.5,5.0,4.5,2.0,3.5,0.5,12,19,1.0,0.0,0.415,0.9322,0.8252,-0.3333,0.35,0.335,-0.0029,away_win
0.4433,0.3333,1.3333,1.0,2.0,0.6667,0.2667,0.2647,10.0,12.6667,2.6667,3.6667,4.6667,6.3333,2.3333,3.0,0.5,11,13,0.0,0.0,0.19,0.7915,0.9638,0.1429,0.1,0.11,0.002,away_win
0.3333,0.5533,1.0,0.6667,1.0,1.0,0.48,0.4167,8.3333,12.0,4.0,2.3333,2.3333,5.3333,1.6667,2.6667,0.5,13,6,1.0,0.0,-0.14,0.9348,0.783,0.2,-0.35,-0.22,0.0633,away_win
0.7767,0.5533,1.3333,1.3333,0.6667,2.0,0.303,0.4286,11.0,12.6667,3.3333,3.0,4.3333,4.3333,4.0,2.3333,0.5,4,7,1.0,0.0,0.3033,1.1622,0.8815,0.0,0.15,0.2233,-0.1256,draw
0.11,0.4433,1.0,1.0,2.0,0.3333,0.2917,0.2979,8.0,12.0,2.3333,3.0,6.0,3.0,2.3333,2.0,0.5,20,8,0.0,0.0,-0.2533,0.5792,1.1401,0.0,-0.6,-0.3333,-0.0062,draw
0.4433,0.3333,1.3333,2.0,1.3333,1.6667,0.3333,0.3148,7.0,10.0,2.3333,3.0,4.3333,5.6667,3.6667,3.3333,0.5,9,14,0.0,0.0,0.19,0.8075,0.9241,-0.2,0.25,0.11,0.0185,away_win
0.11,1.0,0.0,0.0,1.6667,2.0,0.1379,0.4681,9.6667,5.0,1.3333,0.6667,5.0,1.6667,2.3333,0.6667,0.5,20,1,0.0,1.0,-0.81,0.3064,0.648,0.0,-0.95,-0.89,-0.3302,away_win
0.22,0.7767,0.6667,0.6667,1.3333,1.6667,0.28,0.3714,8.3333,7.3333,2.3333,1.3333,2.6667,3.6667,2.3333,4.0,0.5,18,4,0.0,1.0,-0.4767,0.6034,0.6927,0.0,-0.7,-0.5567,-0.0914,away_win
0.4433,0.22,0.6667,1.6667,0.3333,1.3333,0.2571,0.2353,11.6667,10.3333,3.0,4.0,4.0,3.6667,1.6667,2.6667,0.5,11,16,0.0,0.0,0.3033,1.0755,0.9509,-0.4286,0.25,0.2233,0.0218,home_win
0.4433,0.22,2.0,1.0,1.6667,0.6667,0.2692,0.2857,17.3333,11.6667,4.6667,3.0,7.3333,3.6667,2.3333,3.0,0.5,12,17,1.0,0.0,0.3033,1.1356,0.8538,0.3333,0.25,0.2233,-0.0165,away_win
